institution;indicator;taux observé 2008;taux attendu 2008;SMR 2008;nombre de cas 2008;taux observé 2009;taux attendu 2009;SMR 2009;nombre de cas 2009;
HUG ­ Soins aigus;A Maladies cardiaques; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;A.1 Infarctus du myocarde; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;A.1.1.M DP infarctus du myocarde (âge >19), mortalité;7.2%;7.0%;1.0;526;5.4%;6.5%;0.8;501;
HUG ­ Soins aigus;A.1.2.M DP infarctus du myocarde, âge 20-44, mortalité;2.4%;1.2%;2.1;41;0.0%;0.9%;0.0;36;
HUG ­ Soins aigus;A.1.3.M DP infarctus du myocarde, âge 45-64, mortalité;4.5%;2.4%;1.9;199;2.6%;2.2%;1.2;191;
HUG ­ Soins aigus;A.1.4.M DP infarctus du myocarde, âge 65-84, mortalité;10.6%;7.7%;1.4;218;7.7%;7.3%;1.1;220;
HUG ­ Soins aigus;A.1.5.M DP infarctus du myocarde, âge >84, mortalité;7.4%;22.1%;0.3;68;9.3%;22.3%;0.4;54;
HUG ­ Soins aigus;A.1.6.P DP infarctus du myocarde (âge >19), avec CCG ou OP coronarienne, pourcentage;86.3%;51.5%;*;454;87.4%;52.2%;*;438;
HUG ­ Soins aigus;A.1.7.M DP infarctus du myocarde (âge >19), admissions directes pas transféré, mortalité;7.8%;9.5%;0.8;438;6.0%;8.9%;0.7;402;
HUG ­ Soins aigus;A.1.8.M DP infarctus du myocarde (âge >19), transféré d’un autre hôpital, mortalité;10.5%;4.3%;2.5;38;6.1%;3.8%;1.6;49;
HUG ­ Soins aigus;A.1.9.P Infarctus aigu du myocarde non précisé (âge >19), pourcentage;5.3%;7.1%;*;28;3.8%;6.5%;*;19;
HUG ­ Soins aigus;A.1.10.M Infarctus du myocarde transmural (âge >19), mortalité;8.3%;6.5%;1.3;278;6.1%;5.6%;1.1;214;
HUG ­ Soins aigus;A.1.11.M Infarctus non transmural/NSTEMI (âge >19), mortalité;5.0%;5.3%;0.9;219;3.0%;5.1%;0.6;268;
HUG ­ Soins aigus;A.2 Insuffisance cardiaque; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;A.2.1.M DP insuffisance cardiaque (âge >19), mortalité;3.0%;8.8%;0.3;525;3.7%;7.9%;0.5;544;
HUG ­ Soins aigus;A.2.2.M DP insuffisance cardiaque, âge 20-44, mortalité;*;*;*;<10;0.0%;2.4%;0.0;10;
HUG ­ Soins aigus;A.2.3.M DP insuffisance cardiaque, âge 45-64, mortalité;0.0%;3.4%;0.0;66;0.0%;2.8%;0.0;60;
HUG ­ Soins aigus;A.2.4.M DP insuffisance cardiaque, âge 65-84, mortalité;2.9%;8.0%;0.4;307;4.3%;7.1%;0.6;327;
HUG ­ Soins aigus;A.2.5.M DP insuffisance cardiaque, âge >84, mortalité;4.8%;13.1%;0.4;147;4.1%;12.4%;0.3;147;
HUG ­ Soins aigus;A.3 Cathétérisme cardiaque gauche (CCG); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;A.3.1.F Total des cas avec CCG avec diagnostic et intervention sur les artères coronaires;*;*;*;1'272;*;*;*;1'280;
HUG ­ Soins aigus;A.3.2.M Cas avec CCG en cas d'infarctus du myocarde (âge >19), sans OP du cœur, mortalité;5.2%;3.8%;1.4;439;3.0%;3.0%;1.0;429;
HUG ­ Soins aigus;A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (âge >19), mortalité;19.0%;9.4%;2.0;84;18.1%;9.7%;1.9;72;
HUG ­ Soins aigus;A.3.4.M Cas avec CCG sans infarctus du myocarde sans diagnostic de complications (âge >19), mortalité;1.4%;0.6%;2.6;631;2.7%;0.6%;4.3;679;
HUG ­ Soins aigus;A.3.5.P Cathétérisme thérapeutique sans infarctus sans myocarde ou diagnostic de complications (âge >19), pourcentage;32.3%;38.2%;*;204;34.8%;37.7%;*;236;
HUG ­ Soins aigus;A.3.6.F Cas avec CCG chez l'enfant et l'adolescent (âge <20);*;*;*;51;*;*;*;26;Cette mesure n'est pas pertinente chez l'enfant car, contrairement à l'adulte, les cathétérismes cardiaques sont généralement droits.
HUG ­ Soins aigus;A.4 Troubles du rythme cardiaque; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;A.4.1.F DP troubles du rythme cardiaque;*;*;*;601;*;*;*;605;
HUG ­ Soins aigus;A.5 Traitement par pacemaker ou défibrillateur implantable; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;A.5.1.F Traitement par pacemaker (implantation et changement, défibrillateur inclus);*;*;*;243;*;*;*;237;
HUG ­ Soins aigus;A.5.2.F Implantation et changement de défibrillateur;*;*;*;42;*;*;*;63;
HUG ­ Soins aigus;A.6 Traitement par ablation; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;A.6.1.F Ablation par cathéter;*;*;*;241;*;*;*;226;
HUG ­ Soins aigus;A.6.2.F Ablation chirurgicale;*;*;*;27;*;*;*;34;
HUG ­ Soins aigus;A.7 Opérations du cœur; ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;A.7.1.F Total des OP du cœur;*;*;*;405;*;*;*;397;
HUG ­ Soins aigus;A.7.2.F OP des valves cardiaques;*;*;*;212;*;*;*;215;
HUG ­ Soins aigus;A.7.3.F OP des vaisseaux coronaires;*;*;*;110;*;*;*;105;
HUG ­ Soins aigus;A.7.4.F Autres OP du cœur;*;*;*;166;*;*;*;167;
HUG ­ Soins aigus;A.7.5.F OP combinée du cœur;*;*;*;82;*;*;*;82;
HUG ­ Soins aigus;A.7.6.F OP du cœur chez l'enfant et l'adolescent (âge <20);*;*;*;131;*;*;*;135;
HUG ­ Soins aigus;A.7.7.M Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur, mortalité;6.7%;3.8%;1.8;75;7.6%;3.2%;2.4;66;
HUG ­ Soins aigus;A.7.11.M OP des vaisseaux coronaires uniquement, en cas d'infarctus du myocarde (âge >19), mortalité;*;*;*;<10;*;*;*;<10;
HUG ­ Soins aigus;A.7.12.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde (âge >19), mortalité;2.9%;1.2%;2.4;70;3.5%;1.9%;1.9;57;
HUG ­ Soins aigus;A.7.13.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 20-49, mortalité;*;*;*;<10;*;*;*;<10;
HUG ­ Soins aigus;A.7.14.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 50-59, mortalité;0.0%;0.3%;0.0;12;0.0%;0.7%;0.0;14;
HUG ­ Soins aigus;A.7.15.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 60-69, mortalité;5.0%;1.1%;4.7;20;6.7%;1.6%;4.3;15;
HUG ­ Soins aigus;A.7.16.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 70-79, mortalité;3.7%;2.1%;1.8;27;7.1%;2.7%;2.6;14;
HUG ­ Soins aigus;A.7.17.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge >79, mortalité;*;*;*;<10;*;*;*;<10;
HUG ­ Soins aigus;A.7.18.P Cas de respiration artificielle >95 h en cas d'OP des vaisseaux coronaires uniquement, sans infarctus du myocarde (âge >19), pourcentage;*;*;*;<10;*;*;*;<10;
HUG ­ Soins aigus;B.1 Accident vasculaire cérébral (attaque cérébrale); ; ; ; ; ; ; ; ;
HUG ­ Soins aigus;B.1.1.M DP d’accident vasculaire cérébral, toutes les formes (âge >19), mortalité;10.9%;11.5%;1.0;724;9.3%;11.5%;0.8;721;
HUG ­ Soins aigus;B.1.2.M DP d’accident vasculaire cérébral, toutes les formes, âge 20-44, mortalité;4.8%;5.4%;0.9;63;6.0%;4.0%;1.5;67;
HUG ­ Soins aigus;B.1.3.M DP d’accident vasculaire cérébral, toutes les formes, âge 45-64, mortalité;9.8%;6.3%;1.6;205;9.9%;6.5%;1.5;191;
HUG ­ Soins aigus;B.1.4.M DP d’accident vasculaire cérébral, toutes les formes, âge 65-84, mortalité;10.5%;12.1%;0.9;352;8.5%;11.6%;0.7;353;
HUG ­ Soins aigus;B.1.5.M DP d’accident vasculaire cérébral, toutes les formes, âge >84, mortalité;18.3%;23.2%;0.8;104;12.7%;24.6%;0.5;110;
HUG ­ Soins aigus;B.1.6.P DP d'accident vasculaire cérébral (âge >19) avec traitement en unité cérébro­vasculaire, pourcentage;...;...;*;...;49.0%;7.9%;*;353;
HUG ­ Soins aigus;B.1.7.M Infarctus cérébral (CIM­10 I63, âge >19), mortalité;5.5%;7.9%;0.7;453;5.6%;8.3%;0.7;502;
HUG ­ Soins aigus;B.1.8.M Infarctus cérébral (CIM­10 I63, âge >19), admissions directes, mortalité;5.1%;7.9%;0.6;415;5.8%;7.9%;0.7;465;
HUG ­ Soins aigus;B.1.9.P Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, pourcentage;11.3%;7.8%;*;51;7.4%;7.6%;*;37;
