institution;indicator;taux observé 2009;taux attendu 2009;SMR 2009;nombre de cas 2009;taux observé 2010;taux attendu 2010;SMR 2010;nombre de cas 2010;
Les Hôpitaux Universitaires de Genève HUG;A Maladies cardiaques; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;A.1 Infarctus du myocarde; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;A.1.1.M DP infarctus du myocarde (âge >19), mortalité;5.4%;6.5%;0.8;501;6.6%;6.2%;1.1;486;Calcul sur le périmètre des soins aigus : Taux observé 6.4 / Nb cas 450
Les Hôpitaux Universitaires de Genève HUG;A.1.2.M DP infarctus du myocarde, âge 20-44, mortalité;0.0%;0.9%;0;36;0.0%;1.2%;0;28;
Les Hôpitaux Universitaires de Genève HUG;A.1.3.M DP infarctus du myocarde, âge 45-64, mortalité;2.6%;2.2%;1.2;191;3.3%;1.6%;2.1;180;
Les Hôpitaux Universitaires de Genève HUG;A.1.4.M DP infarctus du myocarde, âge 65-84, mortalité;7.7%;7.3%;1.1;220;9.5%;6.5%;1.5;210;
Les Hôpitaux Universitaires de Genève HUG;A.1.5.M DP infarctus du myocarde, âge >84, mortalité;9.3%;22.3%;0.4;54;8.8%;19.3%;0.5;68;
Les Hôpitaux Universitaires de Genève HUG;A.1.6.P DP infarctus du myocarde (âge >19), avec CCG ou OP coronarienne, pourcentage;87.4%;52.2%;*;438;81.5%;54.8%;*;396;
Les Hôpitaux Universitaires de Genève HUG;A.1.7.M DP infarctus du myocarde (âge >19), admissions directes pas transféré, mortalité;6.0%;8.9%;0.7;402;7.6%;7.6%;1;384;
Les Hôpitaux Universitaires de Genève HUG;A.1.8.M DP infarctus du myocarde (âge >19), transféré d’un autre hôpital, mortalité;6.1%;3.8%;1.6;49;4.1%;6.8%;0.6;73;Calcul sur le périmètre des soins aigus : Taux observé 0 / Nb cas 40
Les Hôpitaux Universitaires de Genève HUG;A.1.9.P Infarctus aigu du myocarde non précisé (âge >19), pourcentage;3.8%;6.5%;*;19;6.2%;4.1%;*;30;Calcul sur le périmètre des soins aigus : Taux observé 2.9 / Nb cas 13
Les Hôpitaux Universitaires de Genève HUG;A.1.10.M Infarctus du myocarde transmural (âge >19), mortalité;6.1%;5.6%;1.1;214;7.8%;6.3%;1.2;219;Calcul sur le périmètre des soins aigus : Taux observé 8 / Nb cas 212
Les Hôpitaux Universitaires de Genève HUG;A.1.11.M Infarctus non transmural/NSTEMI (âge >19), mortalité;3.0%;5.1%;0.6;268;3.0%;4.1%;0.7;236;Calcul sur le périmètre des soins aigus : Taux observé 3.1 / Nb cas 224
Les Hôpitaux Universitaires de Genève HUG;A.2 Insuffisance cardiaque; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;A.2.1.M DP insuffisance cardiaque (âge >19), mortalité;3.7%;7.9%;0.5;544;4.8%;8.6%;0.6;704;Calcul sur le périmètre des soins aigus : Taux observé 4.1 / Nb cas 615
Les Hôpitaux Universitaires de Genève HUG;A.2.2.M DP insuffisance cardiaque, âge 20-44, mortalité;0.0%;2.4%;0;10;10.0%;4.4%;2.3;10;
Les Hôpitaux Universitaires de Genève HUG;A.2.3.M DP insuffisance cardiaque, âge 45-64, mortalité;0.0%;2.8%;0;60;2.5%;3.6%;0.7;81;
Les Hôpitaux Universitaires de Genève HUG;A.2.4.M DP insuffisance cardiaque, âge 65-84, mortalité;4.3%;7.1%;0.6;327;3.7%;7.6%;0.5;409;
Les Hôpitaux Universitaires de Genève HUG;A.2.5.M DP insuffisance cardiaque, âge >84, mortalité;4.1%;12.4%;0.3;147;7.8%;12.9%;0.6;204;
Les Hôpitaux Universitaires de Genève HUG;A.3 Cathétérisme cardiaque gauche (CCG); ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;A.3.1.F Total des cas avec CCG avec diagnostic et intervention sur les artères coronaires;*;*;*;1'280;*;*;*;1'165;Calcul sur le périmètre des soins aigus : Nb cas 1162
Les Hôpitaux Universitaires de Genève HUG;A.3.2.M Cas avec CCG en cas d'infarctus du myocarde (âge >19), sans OP du cœur, mortalité;3.0%;3.0%;1;429;4.2%;3.4%;1.2;382;
Les Hôpitaux Universitaires de Genève HUG;A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (âge >19), mortalité;18.1%;9.7%;1.9;72;22.1%;11.8%;1.9;68;
Les Hôpitaux Universitaires de Genève HUG;A.3.4.M Cas avec CCG sans infarctus du myocarde sans diagnostic de complications (âge >19), mortalité;2.7%;0.6%;4.3;679;1.6%;0.5%;3.3;631;Calcul sur le périmètre des soins aigus : Taux observé 1.6 / Nb cas 628
Les Hôpitaux Universitaires de Genève HUG;A.3.5.P Cathétérisme thérapeutique sans infarctus du myocarde ou diagnostic de complications (âge >19), pourcentage;34.8%;37.7%;*;236;28.7%;38.1%;*;181;
Les Hôpitaux Universitaires de Genève HUG;A.3.6.F Cas avec CCG chez l'enfant et l'adolescent (âge <20);*;*;*;26;*;*;*;15;Cette mesure n'est pas pertinente chez l'enfant car, contrairement à l'adulte, les cathétérismes cardiaques sont généralement droits
Les Hôpitaux Universitaires de Genève HUG;A.4 Troubles du rythme cardiaque; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;A.4.1.F DP troubles du rythme cardiaque;*;*;*;605;*;*;*;615;Calcul sur le périmètre des soins aigus : Nb cas 575
Les Hôpitaux Universitaires de Genève HUG;A.5 Traitement par pacemaker ou défibrillateur implantable; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;A.5.1.F Traitement par pacemaker (implantation et changement, défibrillateur inclus);*;*;*;237;*;*;*;266;Calcul sur le périmètre des soins aigus : Nb cas 263
Les Hôpitaux Universitaires de Genève HUG;A.5.2.F Implantation et changement de défibrillateur;*;*;*;63;*;*;*;56;Calcul sur le périmètre des soins aigus : Nb cas 55
Les Hôpitaux Universitaires de Genève HUG;A.6 Traitement par ablation; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;A.6.1.F Ablation par cathéter;*;*;*;226;*;*;*;216;
Les Hôpitaux Universitaires de Genève HUG;A.6.2.F Ablation chirurgicale;*;*;*;34;*;*;*;36;
Les Hôpitaux Universitaires de Genève HUG;A.7 Opérations du cœur; ; ; ; ; ; ; ; ;
Les Hôpitaux Universitaires de Genève HUG;A.7.1.F Total des OP du cœur;*;*;*;397;*;*;*;385;
Les Hôpitaux Universitaires de Genève HUG;A.7.2.F OP des valves cardiaques;*;*;*;215;*;*;*;216;
Les Hôpitaux Universitaires de Genève HUG;A.7.3.F OP des vaisseaux coronaires;*;*;*;105;*;*;*;81;
Les Hôpitaux Universitaires de Genève HUG;A.7.4.F Autres OP du cœur;*;*;*;167;*;*;*;168;
Les Hôpitaux Universitaires de Genève HUG;A.7.5.F OP combinée du cœur;*;*;*;82;*;*;*;74;
Les Hôpitaux Universitaires de Genève HUG;A.7.6.F OP du cœur chez l'enfant et l'adolescent (âge <20);*;*;*;135;*;*;*;135;
Les Hôpitaux Universitaires de Genève HUG;A.7.7.M Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur, mortalité;7.6%;3.2%;2.4;66;2.9%;2.5%;1.2;69;
Les Hôpitaux Universitaires de Genève HUG;A.7.11.M OP des vaisseaux coronaires uniquement, en cas d'infarctus du myocarde (âge >19), mortalité;*;*;*;<10;10.0%;3.5%;2.8;10;
Les Hôpitaux Universitaires de Genève HUG;A.7.12.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde (âge >19), mortalité;3.5%;1.9%;1.9;57;2.7%;0.9%;2.9;37;
Les Hôpitaux Universitaires de Genève HUG;A.7.13.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 20-49, mortalité;*;*;*;<10;*;*;*;<10;
